Top Author Locations

Locations,Count,Country Code

"Saudi Arabia 🇸🇦",43,"SA",
"Qatar 🇶🇦",14.4,"QA",
"Kuwait 🇰🇼",6.9,"KW",
"United Arab Emirates 🇦🇪",6.2,"AE",
"Egypt 🇪🇬",4.1,"EG",
"Morocco 🇲🇦",2.7,"MA",
"United Kingdom 🇬🇧",2.6,"GB",
"Oman 🇴🇲",2.4,"OM",
"United States 🇺🇸",2.3,"US",
"Jordan 🇯🇴",1.9,"JO",
"Iraq 🇮🇶",1.3,"IQ",
"South Africa 🇿🇦",0.9,"ZA",
"Algeria 🇩🇿",0.8,"DZ",
"France 🇫🇷",0.7,"FR",
"Spain 🇪🇸",0.6,"ES",
"Australia 🇦🇺",0.6,"AU",
"India 🇮🇳",0.6,"IN",
"Bahrain 🇧🇭",0.5,"BH",
"Sudan 🇸🇩",0.5,"SD",
"Uganda 🇺🇬",0.5,"UG",
"Nigeria 🇳🇬",0.4,"NG",
"Yemen 🇾🇪",0.4,"YE",
"Brazil 🇧🇷",0.3,"BR",
"Canada 🇨🇦",0.3,"CA",
"Italy 🇮🇹",0.3,"IT",
"Japan 🇯🇵",0.3,"JP",
"Pakistan 🇵🇰",0.3,"PK",
"Argentina 🇦🇷",0.2,"AR",
"Germany 🇩🇪",0.2,"DE",
"Micronesia 🇫🇲",0.2,"FM",
"Indonesia 🇮🇩",0.2,"ID",
"Iran 🇮🇷",0.2,"IR",
"Russia 🇷🇺",0.2,"RU",
"Türkiye 🇹🇷",0.2,"TR",
"Afghanistan 🇦🇫",0.1,"AF",
"Switzerland 🇨🇭",0.1,"CH",
"Mainland China 🇨🇳",0.1,"CN",
"Western Sahara 🇪🇭",0.1,"EH",
"Ghana 🇬🇭",0.1,"GH",
"Ireland 🇮🇪",0.1,"IE",
"Lebanon 🇱🇧",0.1,"LB",
"Mexico 🇲🇽",0.1,"MX",
"Netherlands 🇳🇱",0.1,"NL",
"Palestinian Territories 🇵🇸",0.1,"PS",
"Syria 🇸🇾",0.1,"SY",
"Tunisia 🇹🇳",0.1,"TN",
"Bosnia & Herzegovina 🇧🇦",0.1,"BA",
"Botswana 🇧🇼",0.1,"BW",
"Belarus 🇧🇾",0.1,"BY",
"Côte d’Ivoire 🇨🇮",0.1,"CI",
"Cape Verde 🇨🇻",0.1,"CV",
"Dominican Republic 🇩🇴",0.1,"DO",
"Israel 🇮🇱",0.1,"IL",
"Comoros 🇰🇲",0.1,"KM",
"North Korea 🇰🇵",0.1,"KP",
"South Korea 🇰🇷",0.1,"KR",
"Sri Lanka 🇱🇰",0.1,"LK",
"Libya 🇱🇾",0.1,"LY",
"Monaco 🇲🇨",0.1,"MC",
"Marshall Islands 🇲🇭",0.1,"MH",
"Malaysia 🇲🇾",0.1,"MY",
"Philippines 🇵🇭",0.1,"PH",
"Rwanda 🇷🇼",0.1,"RW",
"Somalia 🇸🇴",0.1,"SO",
"Thailand 🇹🇭",0.1,"TH",
"Timor-Leste 🇹🇱",0.1,"TL",
"Tanzania 🇹🇿",0.1,"TZ",
"St. Vincent & Grenadines 🇻🇨",0.1,"VC",

